========================================================================================
fname           lname           test1     test2     test3     test4     avg.      grade     
========================================================================================
Johnny          Lang            100       100       100       98        99.5      A          
Tom             Jerry           85.0      90.0      97.0      98.0      92.5      A          
Hillary         Clinton         90.0      91.0      93.0      95.0      92.2      A          
Billie          Jeans           100.0     92.0      83.0      85.0      90.0      A          
Bill            Kool            75.0      85.0      95.0      105.0     90.0      A          
Suzie           Wang            95.0      85.0      75.0      80.0      83.8      B          
Allie           Smith           85.0      85.0      80.0      82.0      83.0      B          
Henry           Miller          75.0      85.0      82.0      90.0      83.0      B          
Alice           Wood            44.0      75.0      88.0      99.0      76.5      C          
Sally           Railey          65.0      70.0      75.0      78.0      72.0      C          
George          Michael         0.0       100.0     100.0     0.0       50.0      F          
****************************************************************************************
